year,week,challenge,song name,author,premium+,type
2019,1,classical piano favorites,fur elise (challenge),ludwig van beethoven,FALSE,song
2019,1,classical piano favorites,gymnopedie no.1,erik satie,FALSE,song
2018,52,at the gym,person of the hour,the yousicians,FALSE,song
2018,52,at the gym,the gentle art of pumping,the yousicians,FALSE,song
2018,51,carols through the ages,carol of the bells,mykola leontovych,FALSE,song
2018,51,carols through the ages,god rest ye merry gentleman,traditional,FALSE,song
2018,50,swing with santa,away in a manger,traditional,FALSE,song
2018,50,swing with santa,o little town of betlehem,lewis redner,FALSE,song
2018,49,life on horseback,bring me the sheriff,the yousicians,FALSE,song
2018,49,life on horseback,life on horseback,the yousicians,FALSE,song
2018,48,fire & ice - iceland 100 years,ladimagia,the yousicians,FALSE,song
2018,48,fire & ice - iceland 100 years,vulkanik,the yousicians,FALSE,song
2018,47,strum with the machines,light the spark,the yousicians,FALSE,song
2018,47,strum with the machines,worry free,the yousicians,FALSE,song
2018,46,three minute love story,anhelo,the yousicians,FALSE,song
2018,46,three minute love story,buenos aires,the yousicians,FALSE,song
2018,45,the challenge must go on,the excalibur,the yousicians,FALSE,song
2018,45,the challenge must go on,waltz into the night,the yousicians,FALSE,song
2018,44,symphonic surprises with papa haydn,-,-,FALSE,song
2018,43,hard rock halloween,-,-,FALSE,song
2018,42,slow jamz pt. 2,-,-,FALSE,song
2018,41,gypsy jazz,-,-,FALSE,song
2018,40,dark souls,-,-,FALSE,song
2018,39,waltzing nylons,-,-,FALSE,song
2018,38,brahms bash,-,-,FALSE,song
2018,37,hi-nrg,-,-,FALSE,song
2018,36,burning codes,-,-,FALSE,song
2018,35,klezmer kassiks pt. 2,-,-,FALSE,song
2018,34,one for aretha,-,-,FALSE,song
2018,33,tales from the thousand lakes,-,-,FALSE,song
2018,32,rock in 5,-,-,FALSE,song
2018,31,mariachi madness,-,-,FALSE,song
2018,30,classy ballads,-,-,FALSE,song
2018,29,greek challenge,-,-,FALSE,song
2018,28,ram-bam with jo' buddy,-,-,FALSE,song
2018,27,pub rock,-,-,FALSE,song
2018,26,one for vinnie,-,-,FALSE,song
2018,25,midsummer wedding,-,-,FALSE,song
2018,24,miami vibe,-,-,FALSE,song
2018,23,hawaii style,-,-,FALSE,song
2018,22,australia,-,-,FALSE,song
2018,21,wagner with a twist,-,-,FALSE,song
2018,20,you can't do that on a challenge anymore vol. 1,-,-,FALSE,song
2018,19,funky strut,-,-,FALSE,song
2018,18,epic amusement,-,-,FALSE,song
2018,17,jasmine flower,-,-,FALSE,song
2018,16,c'est la vie with satie,-,-,FALSE,song
2018,15,an odyssey in jazz,-,-,FALSE,song
2018,14,habanero hop,-,-,FALSE,song
2018,13,easter with j.s. bach,-,-,FALSE,song
2018,12,beyond the stars ...one for hawking...,-,-,FALSE,song
2018,11,the river flows,-,-,FALSE,song
2018,10,happy-o-rama,-,-,FALSE,song
2018,9,funk metal attack,-,-,FALSE,song
2018,8,pride and joy,-,-,FALSE,song
2018,7,punk,-,-,FALSE,song
2018,6,be my valentine,-,-,FALSE,song
2018,5,catching sounds,-,-,FALSE,song
2018,4,all right adding machine,-,-,FALSE,song
2018,3,swing low,-,-,FALSE,song
2018,2,balkan bounce pt. 2,-,-,FALSE,song
2018,1,lost in the wilderness,-,-,FALSE,song
2017,52,new year special,-,-,FALSE,song
2017,51,operatic holidays,-,-,FALSE,song
