year,week,challenge,weeks ago,guitar,piano,ukulele,bass,voice
2019,12,the jimi hendrix challenge,1,TRUE,TRUE,TRUE,TRUE,FALSE
2019,11,st. patrick's day party,2,TRUE,TRUE,TRUE,TRUE,FALSE
2019,10,mardi gras,3,TRUE,TRUE,TRUE,TRUE,FALSE
2019,9,in a hurry?,4,TRUE,TRUE,TRUE,TRUE,FALSE
2019,8,shortnin' bread,5,TRUE,TRUE,TRUE,TRUE,FALSE
2019,7,be the boss,6,TRUE,TRUE,TRUE,TRUE,FALSE
2019,6,song for you (a valentine's day special),7,TRUE,TRUE,TRUE,TRUE,FALSE
2019,5,nwobhm (new wave of british heavy metal),8,TRUE,TRUE,TRUE,TRUE,FALSE
2019,4,challenge with a capital C,9,TRUE,TRUE,TRUE,TRUE,FALSE
2019,3,back to bach,10,TRUE,TRUE,TRUE,TRUE,FALSE
2019,2,ruff rockin,11,TRUE,TRUE,TRUE,TRUE,FALSE
2019,1,classical piano favorites,12,TRUE,TRUE,TRUE,TRUE,FALSE
2018,52,at the gym,13,TRUE,TRUE,TRUE,TRUE,FALSE
2018,51,carols through the ages,14,TRUE,TRUE,TRUE,TRUE,FALSE
2018,50,swing with santa,15,TRUE,TRUE,TRUE,TRUE,FALSE
2018,49,life on horseback,16,TRUE,TRUE,TRUE,TRUE,FALSE
2018,48,(fire & ice) iceland 100 years,17,TRUE,TRUE,TRUE,TRUE,FALSE
2018,47,strum with the machines,18,TRUE,TRUE,TRUE,TRUE,FALSE
2018,46,three minute love story,19,TRUE,TRUE,TRUE,TRUE,FALSE
2018,45,the challenge must go on,20,TRUE,TRUE,TRUE,TRUE,FALSE
2018,44,symphonic surprises (with papa haydn),21,TRUE,TRUE,TRUE,TRUE,FALSE
2018,43,hard rock halloween,22,TRUE,TRUE,TRUE,TRUE,FALSE
2018,42,slow jamz pt. 2,23,TRUE,TRUE,TRUE,TRUE,FALSE
2018,41,gypsy jazz,24,TRUE,TRUE,TRUE,TRUE,FALSE
2018,40,dark souls,25,TRUE,TRUE,TRUE,TRUE,FALSE
2018,39,waltzing nylons,26,TRUE,TRUE,TRUE,TRUE,FALSE
2018,38,brahms bash,27,TRUE,TRUE,TRUE,TRUE,FALSE
2018,37,hi-nrg,28,TRUE,TRUE,TRUE,TRUE,FALSE
2018,36,burning codes,29,TRUE,TRUE,TRUE,TRUE,FALSE
2018,35,klezmer kassiks pt. 2,30,TRUE,TRUE,TRUE,TRUE,FALSE
2018,34,one for aretha,31,TRUE,TRUE,TRUE,TRUE,FALSE
2018,33,tales from the thousand lakes,32,TRUE,TRUE,TRUE,TRUE,FALSE
2018,32,rock in 5,33,TRUE,TRUE,TRUE,TRUE,FALSE
2018,31,mariachi madness,34,TRUE,TRUE,TRUE,TRUE,FALSE
2018,30,classy ballads,35,TRUE,TRUE,TRUE,TRUE,FALSE
2018,29,the greek challenge,36,TRUE,TRUE,TRUE,TRUE,FALSE
2018,28,ram bam with jo buddy,37,TRUE,TRUE,TRUE,TRUE,FALSE
2018,27,pub rock,38,TRUE,TRUE,TRUE,TRUE,FALSE
2018,26,one for vinnie,39,TRUE,TRUE,TRUE,TRUE,FALSE
2018,25,midsummer wedding,40,TRUE,TRUE,TRUE,TRUE,FALSE
2018,24,miami vibe,41,TRUE,TRUE,TRUE,TRUE,FALSE
2018,23,hawaii style,42,TRUE,TRUE,TRUE,TRUE,FALSE
2018,22,australia,43,TRUE,TRUE,TRUE,TRUE,FALSE
2018,21,wagner with a twist,44,TRUE,TRUE,TRUE,TRUE,FALSE
2018,20,you can't do that on a challenge anymore vol. 1,45,TRUE,TRUE,TRUE,TRUE,FALSE
2018,19,funky strut,46,TRUE,TRUE,TRUE,TRUE,FALSE
2018,18,epic amusement,47,TRUE,TRUE,TRUE,TRUE,FALSE
2018,17,jasmine flower,48,TRUE,TRUE,TRUE,TRUE,FALSE
2018,16,c'est la vie with satie,49,TRUE,TRUE,TRUE,TRUE,FALSE
2018,15,an odyssey in jazz,50,TRUE,TRUE,TRUE,TRUE,FALSE
2018,14,habanero hop,51,TRUE,TRUE,TRUE,TRUE,FALSE
2018,13,easter with j.s. bach,52,TRUE,TRUE,TRUE,TRUE,FALSE
2018,12,beyond the stars ...one for hawking...,53,TRUE,TRUE,TRUE,TRUE,FALSE
2018,11,the river flows,54,TRUE,TRUE,TRUE,TRUE,FALSE
2018,10,happy-o-rama,55,TRUE,TRUE,TRUE,TRUE,FALSE
2018,9,funk metal attack,56,TRUE,TRUE,TRUE,TRUE,FALSE
2018,8,pride and joy,57,TRUE,TRUE,TRUE,TRUE,FALSE
2018,7,punk,58,TRUE,TRUE,TRUE,TRUE,FALSE
2018,6,be my valentine,59,TRUE,TRUE,TRUE,TRUE,FALSE
2018,5,catching sounds,60,TRUE,TRUE,TRUE,TRUE,FALSE
2018,4,all right adding machine,61,TRUE,TRUE,TRUE,TRUE,FALSE
2018,3,swing low,62,TRUE,TRUE,TRUE,TRUE,FALSE
2018,2,balkan bounce pt. 2,63,TRUE,TRUE,TRUE,TRUE,FALSE
2018,1,lost in the wilderness,64,TRUE,TRUE,TRUE,TRUE,FALSE
2017,52,new year special,65,TRUE,TRUE,TRUE,TRUE,FALSE
2017,51,operatic holidays,66,TRUE,TRUE,TRUE,TRUE,FALSE
2017,50,peaceful christmas,67,TRUE,TRUE,TRUE,TRUE,FALSE
2017,49,surf and twang,68,TRUE,TRUE,TRUE,TRUE,FALSE
2017,48,finland 100 years,69,TRUE,TRUE,TRUE,TRUE,FALSE
2017,47,one for malcolm,70,TRUE,TRUE,TRUE,TRUE,FALSE
2017,46,flutes rock,71,TRUE,TRUE,TRUE,TRUE,FALSE
2017,45,magic mandolins,72,TRUE,TRUE,TRUE,TRUE,FALSE
2017,44,(a night) at the opera,73,TRUE,TRUE,TRUE,TRUE,FALSE
2017,43,the halloween challenge,74,TRUE,TRUE,TRUE,TRUE,FALSE
2017,42,the leah harris challenge,75,TRUE,TRUE,TRUE,TRUE,FALSE
2017,41,one for petty,76,TRUE,TRUE,TRUE,TRUE,FALSE
2017,40,80's power ballads,77,TRUE,TRUE,TRUE,TRUE,FALSE
