path,year,week,mission,level,song,author,description,type,premium+,location
,,,,6,whiskey in the jar (in G),thin lizzy,full rhythm,song,TRUE,guitar-home-new
,,,,6,seasons of love,rent,melody,song,TRUE,guitar-home-new
,,,,6,better together,jack johnson,fancy chords (capo),song,TRUE,guitar-home-new
,,,,6,hey laura,gregory porter,fancy chords,song,TRUE,guitar-home-new
,,,,7,i get around,the beach boys,low rhythm,song,TRUE,guitar-home-new
,,,,7,grandma's hands,bill withers,lead,song,TRUE,guitar-home-new
,,,,7,grandma's hands,bill withers,fingerpicking,song,TRUE,guitar-home-new
,,,,6,grandma's hands,bill withers,fancy chords,song,TRUE,guitar-home-new
,,,,6,should've been a cowboy,toby keith,rhythm & lead,song,TRUE,guitar-home-new
,,,,7,i was made for lovin' you (in Em),kiss,main rhythm,song,TRUE,guitar-home-new
,,,,6,banana pancakes,jack johnson,fancy chords,song,TRUE,guitar-home-new
,,,,7,don't cry for me argentina,evita,fingerpicking,song,TRUE,guitar-home-new
,,,,7,kickstarts,example,movable chords,song,TRUE,guitar-home-new
,,,,6,texas flood (in G),stevie ray vaughan,fancy chords,song,TRUE,guitar-home-new
,,,,7,good vibrations,the beach boys,melody,song,TRUE,guitar-home-new
,,,,7,dirty work (in C),steely dan,melody & solo,song,TRUE,guitar-home-new
,,,,7,tuesday's gone,lynyrd skynyrd,main rhythm,song,TRUE,guitar-home-new
,,,,6,road trippin',red hot chili peppers,fancy chords,song,TRUE,guitar-home-new
,,,,6,all out of love,air supply,fancy chords,song,TRUE,guitar-home-new
,,,,6,won't go home without you (in E),maroon 5,fancy chords,song,TRUE,guitar-home-new
-,,,play strings,0,intro & tuning,the yousicians,-,video,FALSE,guitar-learn-missions
-,,,play strings,0,life in tune (lesson),the yousicians,exercise,song,FALSE,guitar-learn-missions
-,,,play strings,0,spanish romance (short),traditional,open strings,song,FALSE,guitar-learn-missions
-,,,play frets,0,playing frets,the yousicians,-,video,FALSE,guitar-learn-missions
