location,mission,premium+,type,author,description,level,song
guitar-learn-missions,play strings,FALSE,video,the yousicians,-,0,intro & tuning
guitar-learn-missions,play strings,FALSE,song,the yousicians,exercise,0,life in tune (lesson)
guitar-learn-missions,play strings,FALSE,song,traditional,open strings,0,spanish romance (short)
guitar-learn-missions,play frets,FALSE,video,the yousicians,-,0,playing frets
guitar-learn-missions,play frets,FALSE,song,the yousicians,intro to frets,0,down the line (tutorial)
guitar-learn-missions,play frets,FALSE,song,the yousicians,basic melody,0,love on the rocks
guitar-learn-missions,play frets,FALSE,video,the yousicians,-,0,picking strings
guitar-learn-missions,play frets,FALSE,song,the yousicians,simplified melody,0,first light
guitar-learn-missions,skill test (level 1),FALSE,song,the yousicians,basic melody,0,set me free
guitar-learn-missions,skill test (level 1),FALSE,video,the yousicians,-,0,video: choose your path
guitar-learn-missions-lead,start the lead guitar path,FALSE,video,-,-,1,one finger per fret
guitar-learn-missions-lead,start the lead guitar path,FALSE,trainer,-,-,1,one finger per fret
guitar-learn-missions-lead,start the lead guitar path,FALSE,song,the yousicians,basic melody,1,livewire
guitar-learn-missions-lead,start the lead guitar path,FALSE,song,the yousicians,basic melody,1,somewhere
guitar-learn-missions-lead,start the lead guitar path,FALSE,song,the yousicians,basic melody,1,conquer the galaxy
guitar-learn-missions-lead,start the lead guitar path,FALSE,song,the yousicians,simplified melody,1,plaing in the park
guitar-learn-missions-lead,fret master,FALSE,trainer,-,-,1,fret master
guitar-learn-missions-lead,fret master,FALSE,song,johann pachelbel,basic melody,1,canon in D
guitar-learn-missions-lead,fret master,FALSE,song,the yousicians,basic melody,1,first light
guitar-learn-missions-lead,fret master,FALSE,song,the yousicians,basic melody,1,two ravens
guitar-learn-missions-lead,fret master,FALSE,song,the yousicians,melody,1,gazing at stars
guitar-learn-missions-knowledge,start the knowledge path,FALSE,video,-,-,1,video: names of the strings
guitar-learn-missions-knowledge,start the knowledge path,FALSE,song,the yousicians,melody,1,eddie ate dynamite
guitar-learn-missions-knowledge,start the knowledge path,FALSE,video,-,-,1,video: up & down
guitar-learn-missions-knowledge,start the knowledge path,FALSE,song,the yousicians,riff,1,pitch goes up & down (guitar)
guitar-learn-missions-knowledge,start the knowledge path,FALSE,video,-,-,1,video: half & whole steps
guitar-learn-missions-knowledge,start the knowledge path,FALSE,song,the yousicians,melody,1,"half step, whole step"
guitar-learn-missions-knowledge,start the knowledge path,FALSE,video,-,-,1,video: beats & bars
guitar-learn-missions-knowledge,start the knowledge path,FALSE,song,the yousicians,melody,1,feel the beat (in G)
guitar-learn-missions-knowledge,ear training: up & down,FALSE,puzzle,-,-,1,ear puzzles: going up
guitar-learn-missions-knowledge,ear training: up & down,FALSE,puzzle,-,-,1,ear puzzles: up & down
guitar-learn-missions-knowledge,ear training: up & down,FALSE,puzzle,-,-,1,ear puzzles: up-down-same
guitar-learn-missions-knowledge,ear training: up & down,FALSE,finder,-,-,1,note finder: low & high
guitar-learn-missions-rhythm,start the rhythm guitar path,FALSE,trainer,-,-,1,playing on the thickest strings
guitar-learn-missions-rhythm,start the rhythm guitar path,FALSE,song,the yousicians,basic riff,1,robot dawn
guitar-learn-missions-rhythm,start the rhythm guitar path,FALSE,song,the yousicians,basic riff,1,up in the air
guitar-learn-missions-rhythm,start the rhythm guitar path,FALSE,song,the yousicians,basic riff,1,livewire
guitar-learn-missions-rhythm,start the rhythm guitar path,FALSE,song,the yousicians,basic riff,1,robot city
